gamma,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.000100,21.5604,1.5921,0.5205,0.0845,0.3320,0.0867
0.000267,21.5905,1.5995,0.5218,0.0854,0.3318,0.0870
0.000715,21.6496,1.6004,0.5252,0.0844,0.3283,0.0865
0.001912,21.8396,1.6331,0.5338,0.0851,0.3216,0.0875
0.005113,22.2914,1.6567,0.5550,0.0831,0.3032,0.0807
0.013674,23.1937,1.6950,0.5922,0.0810,0.2727,0.0708
0.036566,24.3619,2.0387,0.6195,0.1024,0.2561,0.0943
0.097781,20.6270,3.6017,0.3912,0.1611,0.5489,0.1951
0.261477,17.9135,3.6451,0.2717,0.1529,0.7110,0.1692
0.699217,nan,nan,nan,nan,nan,nan
1.869782,nan,nan,nan,nan,nan,nan
5.000000,nan,nan,nan,nan,nan,nan
