ddim_eta,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.000000,20.4662,2.2958,0.7390,0.0347,0.1265,0.0402
0.090909,20.3036,2.2351,0.7369,0.0318,0.1279,0.0391
0.181818,20.5384,2.5785,0.7418,0.0333,0.1220,0.0383
0.272727,19.9362,3.3956,0.7046,0.1507,0.1542,0.1269
0.363636,20.6629,2.7046,0.7408,0.0354,0.1161,0.0361
0.454545,20.7210,2.8241,0.7378,0.0374,0.1187,0.0388
0.545455,20.8075,2.8780,0.7327,0.0408,0.1184,0.0375
0.636364,20.7022,2.9280,0.7242,0.0455,0.1250,0.0370
0.727273,20.7890,3.0480,0.7148,0.0465,0.1292,0.0342
0.818182,20.7843,2.9177,0.7005,0.0522,0.1426,0.0373
0.909091,20.8664,2.8717,0.6865,0.0589,0.1532,0.0429
1.000000,20.8101,2.7808,0.6695,0.0670,0.1716,0.0477
